Date;Price;Open;High;Low;Vol.;Change %
7/2/2020;1,801.90;1,787.90;1,829.80;1,779.20;1.16M;0.05%
7/5/2020;1,815.60;1,797.90;1,842.30;1,791.00;26.19K;0.76%
7/12/2020;1,820.90;1,817.00;1,832.00;1,804.50;19.90K;0.29%
07/19/2020;1,910.10;1,821.80;1,917.40;1,818.10;47.22K;4.90%
07/26/2020;1,985.90;1,913.10;2,005.40;1,912.20;627.36K;3.97%
8/2/2020;2,028.00;1,997.40;2,089.20;1,975.20;1.53M;2.12%
8/9/2020;1,949.80;2,044.80;2,060.80;1,874.20;1.87M;-3.86%
08/16/2020;1,947.00;1,956.40;2,024.60;1,916.60;1.83M;-0.14%
08/23/2020;1,974.90;1,947.90;1,987.00;1,908.40;1.70M;1.43%
08/30/2020;1,934.30;1,973.90;2,001.20;1,921.60;1.49M;-2.06%
9/6/2020;1,947.90;1,938.00;1,975.20;1,911.70;1.12M;0.70%
09/13/2020;1,962.10;1,948.90;1,983.80;1,938.20;1.19M;0.73%
09/20/2020;1,866.30;1,957.30;1,962.90;1,851.00;1.66M;-4.88%
09/27/2020;1,914.70;1,862.70;1,930.40;1,851.10;245.80K;2.59%
10/4/2020;1,933.60;1,914.30;1,944.00;1,884.00;27.69K;0.99%
10/11/2020;1,914.00;1,942.40;1,945.30;1,892.80;18.00K;-1.01%
10/18/2020;1,912.70;1,912.70;1,943.20;1,902.00;25.42K;-0.07%
10/25/2020;1,887.20;1,912.30;1,920.90;1,866.70;34.72K;-1.33%
11/1/2020;1,959.10;1,885.30;1,968.90;1,881.00;110.66K;3.81%
11/8/2020;1,893.00;1,961.70;1,973.30;1,854.00;260.57K;-3.37%
11/15/2020;1,878.20;1,893.70;1,904.30;1,855.70;188.52K;-0.78%
11/22/2020;1,792.10;1,875.90;1,880.70;1,781.20;376.51K;-4.58%
11/29/2020;1,844.00;1,795.00;1,856.20;1,771.30;23.94K;2.90%
12/6/2020;1,847.60;1,846.70;1,883.70;1,829.20;26.71K;0.20%
12/13/2020;1,893.00;1,849.00;1,906.00;1,825.00;19.31K;2.46%
12/20/2020;1,887.40;1,896.80;1,915.40;1,863.30;12.98K;-0.30%
12/27/2020;1,899.60;1,890.90;1,909.20;1,877.20;17.01K;0.65%
1/3/2021;1,839.70;1,912.50;1,966.80;1,832.00;121.78K;-3.15%
1/10/2021;1,833.70;1,852.90;1,867.80;1,821.30;290.59K;-0.33%
01/17/2021;1,859.90;1,832.30;1,878.10;1,804.70;269.21K;1.43%
01/24/2021;1,852.70;1,858.60;1,881.00;1,832.40;371.79K;-0.39%
01/31/2021;1,815.60;1,867.30;1,877.80;1,787.30;41.21K;-2.00%
2/7/2021;1,826.00;1,818.90;1,858.90;1,809.90;23.31K;0.57%
02/14/2021;1,780.30;1,828.00;1,829.90;1,762.90;28.23K;-2.50%
02/21/2021;1,731.60;1,785.80;1,817.60;1,718.10;43.85K;-2.74%
02/28/2021;1,701.60;1,735.40;1,759.90;1,685.80;108.27K;-1.73%
3/7/2021;1,722.40;1,703.90;1,740.40;1,676.20;264.27K;1.22%
03/14/2021;1,743.90;1,728.20;1,756.00;1,719.10;111.66K;1.25%
03/21/2021;1,734.70;1,747.50;1,749.20;1,721.20;350.12K;-0.53%
03/28/2021;1,730.30;1,732.40;1,734.80;1,679.40;190.38K;-0.25%
4/4/2021;1,746.80;1,732.10;1,761.20;1,723.60;14.97K;0.95%
4/11/2021;1,782.20;1,745.20;1,786.20;1,725.50;17.14K;2.03%
04/18/2021;1,779.90;1,780.10;1,800.00;1,765.80;14.29K;-0.13%
04/25/2021;1,769.80;1,776.00;1,791.50;1,756.80;43.50K;-0.57%
5/2/2021;1,833.50;1,770.40;1,846.50;1,768.50;87.85K;3.60%
5/9/2021;1,840.00;1,836.10;1,849.00;1,810.70;257.70K;0.35%
05/16/2021;1,878.90;1,843.50;1,893.20;1,843.10;248.41K;2.11%
05/23/2021;1,906.90;1,885.60;1,915.60;1,875.40;414.93K;1.49%
05/30/2021;1,893.80;1,909.30;1,920.50;1,857.60;6.28K;-0.69%
6/6/2021;1,881.70;1,894.30;1,908.00;1,874.40;6.41K;-0.64%
06/13/2021;1,770.90;1,880.70;1,881.20;1,763.30;9.17K;-5.89%
06/20/2021;1,779.80;1,769.30;1,797.00;1,769.30;4.95K;0.50%
06/27/2021;1,785.20;1,783.10;1,797.60;1,752.50;5.51K;0.30%
7/4/2021;1,812.10;1,787.40;1,821.00;1,787.00;13.02K;1.51%
7/11/2021;1,816.70;1,809.90;1,836.20;1,793.50;17.48K;0.25%
07/18/2021;1,803.60;1,814.00;1,827.20;1,791.00;27.65K;-0.72%
07/25/2021;1,817.20;1,804.00;1,837.50;1,793.00;411.51K;0.75%
8/1/2021;1,763.10;1,817.00;1,835.90;1,759.50;1.00M;-2.98%
8/8/2021;1,778.20;1,765.00;1,781.90;1,677.90;939.47K;0.86%
08/15/2021;1,784.00;1,780.90;1,797.60;1,772.00;674.45K;0.33%
08/22/2021;1,819.50;1,781.20;1,821.90;1,778.00;772.74K;1.99%
08/29/2021;1,833.70;1,821.60;1,836.90;1,803.40;713.39K;0.78%
9/5/2021;1,792.10;1,833.50;1,833.50;1,783.10;704.11K;-2.27%
9/12/2021;1,751.40;1,789.80;1,810.60;1,745.50;890.08K;-2.27%
09/19/2021;1,751.70;1,754.20;1,788.40;1,737.50;843.43K;0.02%
09/26/2021;1,760.10;1,751.80;1,766.40;1,723.70;377.15K;0.48%
10/3/2021;1,759.40;1,762.40;1,783.20;1,747.90;24.01K;-0.04%
10/10/2021;1,770.20;1,760.30;1,803.60;1,752.10;22.63K;0.61%
10/17/2021;1,798.30;1,769.50;1,817.50;1,762.80;21.20K;1.59%
10/24/2021;1,785.90;1,796.40;1,814.60;1,774.60;34.00K;-0.69%
10/31/2021;1,819.00;1,786.80;1,822.20;1,761.00;82.65K;1.85%
11/7/2021;1,870.80;1,822.20;1,873.30;1,815.90;243.74K;2.85%
11/14/2021;1,854.30;1,876.30;1,881.90;1,847.00;258.96K;-0.88%
11/21/2021;1,788.10;1,850.70;1,853.00;1,780.20;575.17K;-3.57%
11/28/2021;1,785.80;1,792.40;1,813.10;1,764.20;23.00K;-0.13%
12/5/2021;1,787.00;1,790.00;1,796.20;1,772.90;22.46K;0.07%
12/12/2021;1,807.30;1,786.60;1,818.00;1,755.40;29.12K;1.14%
12/19/2021;1,814.00;1,802.40;1,814.20;1,787.60;12.44K;0.37%
12/26/2021;1,831.00;1,809.00;1,833.60;1,791.90;20.20K;0.94%
1/2/2022;1,799.90;1,832.90;1,835.40;1,783.80;136.24K;-1.70%
1/9/2022;1,819.00;1,798.00;1,831.50;1,792.00;237.68K;1.06%
01/16/2022;1,834.10;1,819.80;1,850.80;1,807.20;340.34K;0.83%
01/23/2022;1,789.30;1,838.30;1,856.70;1,783.80;549.54K;-2.44%
01/30/2022;1,810.80;1,795.40;1,818.60;1,788.90;25.10K;1.20%
2/6/2022;1,845.50;1,810.90;1,870.60;1,810.70;46.32K;1.92%
02/13/2022;1,903.10;1,866.70;1,907.90;1,849.20;30.35K;3.12%
02/20/2022;1,890.80;1,904.70;1,979.10;1,882.00;53.22K;-0.65%
02/27/2022;1,969.90;1,921.00;1,978.10;1,895.60;55.45K;4.18%
3/6/2022;1,989.40;1,981.30;2,082.00;1,964.80;390.44K;0.99%
03/13/2022;1,933.90;1,993.50;1,999.00;1,900.40;188.52K;-2.79%
03/20/2022;1,959.80;1,927.40;1,972.50;1,915.50;290.48K;1.34%
03/27/2022;1,929.20;1,962.50;1,965.20;1,893.20;337.10K;-1.56%
4/3/2022;1,952.20;1,933.50;1,958.30;1,922.30;25.22K;1.19%
4/10/2022;1,981.60;1,957.10;1,992.20;1,949.90;27.36K;1.51%
04/17/2022;1,941.40;1,983.10;2,009.50;1,935.00;36.79K;-2.03%
04/24/2022;1,918.60;1,937.40;1,942.60;1,877.80;46.35K;-1.17%
5/1/2022;1,890.20;1,903.10;1,917.60;1,856.70;145.29K;-1.48%
5/8/2022;1,814.80;1,890.90;1,891.80;1,804.00;314.84K;-3.99%
05/15/2022;1,848.40;1,816.00;1,854.50;1,792.00;176.87K;1.85%
05/22/2022;1,865.00;1,850.90;1,875.00;1,842.50;332.56K;0.90%
05/29/2022;1,858.30;1,862.00;1,886.40;1,838.60;6.12K;-0.36%
6/5/2022;1,883.90;1,863.40;1,887.40;1,835.00;5.79K;1.38%
6/12/2022;1,849.60;1,887.40;1,890.60;1,814.90;15.67K;-1.82%
06/19/2022;1,839.30;1,847.50;1,859.00;1,826.70;12.19K;-0.56%
06/26/2022;1,810.40;1,848.50;1,851.50;1,792.70;12.32K;-1.57%
7/3/2022;1,750.90;1,823.00;1,823.90;1,734.80;17.01K;-3.29%
7/10/2022;1,711.60;1,750.00;1,752.30;1,703.80;26.55K;-2.24%
07/17/2022;1,735.00;1,713.20;1,745.30;1,686.30;30.82K;1.37%
